month ,date,lake,species ,length ,weight ,nr,pit,basin,diet 
June,6/13/2024,Camp,LMB,229,110,N,3D6.1533D2EB84,reference,N
June,6/13/2024,Camp,LMB,195,60,N,3DD.003BD7CAB7,reference,Y
June,6/13/2024,Camp,LMB,275,210,N,3DD.003BD7CABE,reference,Y
June,6/13/2024,Camp,LMB,249,160,N,3D6.1533D2EB7A,reference,Y
June,6/13/2024,Camp,LMB,285,230,N,3DD.003BD7CABD,reference,Y
June,6/13/2024,Camp,LMB,255,140,N,3DD.003BD7CABO,reference,Y
June,6/13/2024,Camp,LMB,293,240,N,3DD.003BD7CAF3,reference,Y
June,6/13/2024,Camp,LMB,219,80,N,3D6.1533D2E677,reference,Y
June,6/13/2024,Camp,LMB,268,180,N,3D6.1533D2E6AE,reference,Y
June,6/13/2024,Camp,LMB,318,340,N,3D6.1533D2E69F,reference,Y
June,6/13/2024,Camp,LMB,285,230,N,3DD.003D5C9C9D,reference,Y
June,6/13/2024,Camp,LMB,250,140,N,3D6.1533D2E681,reference,Y
June,6/13/2024,Camp,LMB,259,190,N,3D6.1533D2E6AT,reference,Y
June,6/13/2024,Camp,LMB,300,280,N,3D6.1533D2E680,reference,Y
June,6/13/2024,Camp,LMB,295,260,N,3D5.1533D2E661,reference,Y
June,6/13/2024,Camp,LMB,295,150,N,3D6.1533D2E65F,reference,Y
June,6/13/2024,Camp,LMB,317,360,N,3D6.1533D2E666,reference,Y
June,6/13/2024,Camp,LMB,325,360,N,3D6.1533D2E69A,reference,Y
June,6/13/2024,Camp,LMB,251,140,N,3D6.1533D2E6132,reference,Y
June,6/13/2024,Camp,LMB,243,150,N,3D6.1533D2E678,reference,N
June,6/13/2024,Camp,LMB,259,160,N,3D6.1533D2E6B8,reference,Y
June,6/13/2024,Camp,LMB,258,170,N,3DD.003D5C9C88,reference,Y
June,6/13/2024,Camp,LMB,215,90,N,,reference,N
June,6/19/2024,Camp,LMB,364,470,N,3D6.1533D2E6BO,treatment,Y
June,6/19/2024,Camp,LMB,312,320,N,3D6.1533D2E672,treatment,N
June,6/19/2024,Camp,LMB,295,240,N,3D6.1533D2E679,treatment,Y
June,6/19/2024,Camp,LMB,269,200,N,3D6.1533D2E687,treatment,Y
June,6/19/2024,Camp,LMB,352,440,N,3D6.1533D2E69D,treatment,Y
June,6/19/2024,Camp,LMB,252,150,N,3D6.1533D2E682,treatment,Y
June,6/19/2024,Camp,LMB,174,70,N,3D6.1533D2E680,treatment,Y
June,6/20/2024,Camp,LMB,279,240,N,3D6.1533D2EGA5,treatment,Y
June,6/20/2024,Camp,LMB,413,1000,N,384.3515E528A6,treatment,N
June,6/20/2024,Camp,LMB,371,490,N,3DD.003D5L9CA1,treatment,N
June,6/20/2024,Camp,LMB,233,130,N,3D6.1533D2E684,treatment,Y
June,6/20/2024,Camp,LMB,320,300,N,3D6.1533D2E674,treatment,N
June,6/20/2024,Camp,LMB,327,390,N,3D6.1533D2E696,treatment,Y
June,6/20/2024,Camp,LMB,310,320,N,3D6.1533D2E670,treatment,Y
June,6/20/2024,Camp,LMB,329,420,N,3D6.1533D2E683,treatment,Y
June,6/20/2024,Camp,LMB,340,440,N,3D6.1533D2E697,treatment,Y
June,6/20/2024,Camp,LMB,315,330,N,3DD.003BD7CAA2,treatment,Y
June,6/20/2024,Camp,LMB,380,720,N,3D6.1533D2E691,treatment,Y
June,6/20/2024,Camp,LMB,298,270,N,3D6.1533D2E6AA,treatment,Y
June,6/20/2024,Camp,LMB,280,200,N,3D6.1533D2E68E,treatment,Y
June,6/20/2024,Camp,LMB,317,330,N,3D6.1533D2E67E,treatment,N
June,6/20/2024,Camp,LMB,310,290,N,3D6.1533D2E66E,treatment,N
June,6/20/2024,Camp,LMB,402,770,N,3D6.1533D2E667,treatment,Y
June,6/20/2024,Camp,LMB,305,330,N,3D6.1533D2E66C,treatment,Y
June,6/20/2024,Camp,LMB,284,230,N,3D6.1533D2E6B1,treatment,Y
June,6/20/2024,Camp,LMB,311,330,N,3D6.1533D2E6B4,treatment,Y
June,6/20/2024,Camp,LMB,298,260,N,3DD.003BD7CA9A,treatment,Y
June,6/20/2024,Camp,LMB,342,450,N,3DD.003BD7CAAD,treatment,Y
June,6/20/2024,Camp,LMB,290,250,N,3DD.003BD7CAEF,treatment,N
June,6/20/2024,Camp,LMB,327,380,N,3DD.003BD7CADB,treatment,N
June,6/20/2024,Camp,LMB,336,440,N,3DD.003BD7CA9L,treatment,Y
June,6/20/2024,Camp,LMB,335,380,N,3DD.003BD7CAAF,treatment,Y
June,6/20/2024,Camp,LMB,333,370,N,3DD.003BD7CAA1,treatment,Y
June,6/20/2024,Camp,LMB,370,600,N,3DD.003BD7CAB4,treatment,N
June,6/20/2024,Camp,LMB,340,410,N,3DD.003BD7CAE1,treatment,Y
June,6/20/2024,Camp,LMB,365,480,N,3D6.1533D2EB78,treatment,Y
June,6/20/2024,Camp,LMB,275,200,N,3DD.003BD7CA97,treatment,Y
June,6/20/2024,Camp,LMB,403,770,N,384.3515E2930,treatment,N
June,6/27/2024,Camp,LMB,287,225,N,3D6.1533D2EB89,reference,Y
June,6/27/2024,Camp,LMB,324,365,N,3DD.003BD7CAA4,reference,Y
June,6/27/2024,Camp,LMB,249,140,N,3DD.003BD7CAD6,reference,Y
June,6/27/2024,Camp,LMB,291,215,N,3DD.003BD7CAAC,reference,Y
June,6/27/2024,Camp,LMB,286,255,N,3DD.003BD7CA98,reference,Y
June,6/27/2024,Camp,LMB,269,180,N,3D6.1533D2EB7D,reference,N
June,6/27/2024,Camp,LMB,288,245,N,3D9.2794E8D826,reference,Y
June,6/27/2024,Camp,LMB,318,290,N,3DD.003BD7CAE5,reference,N
June,6/27/2024,Camp,LMB,357,440,N,384.3515E52936,reference,Y
June,6/27/2024,Camp,LMB,353,420,N,384.3515E527F4,reference,Y
June,6/27/2024,Camp,LMB,261,170,N,3DD.003BD7CAA8,reference,Y
June,6/27/2024,Camp,LMB,281,240,N,3DD.003BD7CADF,reference,Y
June,6/27/2024,Camp,LMB,309,290,N,3D9.2794E75BF9,reference,Y
June,6/27/2024,Camp,LMB,258,180,N,3D6.1533D2E6CO,reference,Y
June,6/27/2024,Camp,LMB,230,120,N,3D9.2794E8DC7E,reference,Y
June,6/27/2024,Camp,LMB,265,200,N,3D6.1533D2E66D,reference,Y
June,6/27/2024,Camp,LMB,246,120,N,3D9.2794E6FD31,reference,N
June,6/27/2024,Camp,LMB,306,260,N,3D9.2794E60234,reference,Y
June,6/27/2024,Camp,LMB,285,240,R,3DD.003D5C9C9D,reference,Y
June,6/27/2024,Camp,LMB,295,240,N,3D9.2794E6A578,reference,Y
June,6/27/2024,Camp,LMB,304,280,N,3D9.2794E5C8AB,treatment,Y
June,6/27/2024,Camp,LMB,335,430,N,3D9.2794E84714,treatment,N
June,6/27/2024,Camp,LMB,282,230,N,3D9.2794E73729,treatment,N
June,6/27/2024,Camp,LMB,286,250,N,3D9.2794E83E9D,treatment,Y
June,6/27/2024,Camp,LMB,267,210,N,3D9.2794E84E76,treatment,Y
June,6/27/2024,Camp,LMB,288,280,N,3D9.2794E81328,treatment,Y
June,6/27/2024,Camp,LMB,335,390,N,3D9.2794E69AFE,treatment,Y
June,6/27/2024,Camp,LMB,289,220,N,3D9.2794E5F204,treatment,Y
June,6/27/2024,Camp,LMB,290,225,N,3D9.2794E531E9,treatment,Y
June,6/27/2024,Camp,LMB,317,305,N,3D9.2794E5DC78,treatment,N
June,6/27/2024,Camp,LMB,332,340,N,3D9.2794E5968B,treatment,Y
July,7/11/2024,Camp,LMB,276,220,N,3DD.003DEEC855,reference,Y
July,7/11/2024,Camp,LMB,270,190,N,3DD.003DEEC840,reference,Y
July,7/11/2024,Camp,LMB,315,325,N,3D9.2794E54617,reference,Y
July,7/11/2024,Camp,LMB,296,265,N,3D9.2794E7F987,reference,N
July,7/11/2024,Camp,LMB,265,180,N,3D9.2794E603F8,reference,Y
July,7/11/2024,Camp,LMB,271,210,N,3DD.003DEEC84F,reference,Y
July,7/11/2024,Camp,LMB,350,490,N,3DD.003DEEC854,reference,Y
July,7/11/2024,Camp,LMB,265,215,N,3DD.003DEEC849,reference,Y
July,7/11/2024,Camp,LMB,243,130,N,3DD.003DEEC837,reference,N
July,7/11/2024,Camp,LMB,303,320,N,3DD.003DEEC84E,reference,Y
July,7/11/2024,Camp,LMB,290,250,N,3DD.003DEEC842,reference,Y
July,7/11/2024,Camp,LMB,295,285,N,3DD.003DEEC82E,reference,Y
July,7/11/2024,Camp,LMB,275,210,N,3DD.003DEEC853,reference,Y
July,7/11/2024,Camp,LMB,265,180,N,3DD.003DEEC844,reference,Y
July,7/11/2024,Camp,LMB,273,190,N,3D9.2794E69A05,reference,Y
July,7/11/2024,Camp,LMB,299,260,R,3D9.2794E60234,reference,Y
July,7/11/2024,Camp,LMB,310,300,N,3D9.2794E8DB39,reference,Y
July,7/11/2024,Camp,LMB,315,320,N,3D9.2794E73C65,reference,N
July,7/11/2024,Camp,LMB,200,75,N,3DD.003DEEC358,reference,Y
July,7/11/2024,Camp,LMB,276,185,N,3DD.003DEEC823,reference,Y
July,7/11/2024,Camp,LMB,260,190,N,3DD.003DEEC856,reference,Y
July,7/11/2024,Camp,LMB,234,110,N,3DD.003DEEC834,reference,Y
July,7/11/2024,Camp,LMB,275,200,N,3DD.003DEEC84A,reference,Y
July,7/11/2024,Camp,LMB,314,320,N,3DD.003DEEC826,reference,Y
July,7/11/2024,Camp,LMB,205,70,N,3D9.2794E538CF,reference,N
July,7/15/2024,Camp,LMB,290,270,N,3D9.2794E5FFAE,treatment,Y
July,7/15/2024,Camp,LMB,400,780,N,3DD.003DEEC848,treatment,N
July,7/15/2024,Camp,LMB,280,205,N,3DD.003DEEC825,treatment,Y
July,7/15/2024,Camp,LMB,334,400,N,3DD.003DEEC82C,treatment,Y
July,7/15/2024,Camp,LMB,351,480,N,3DD.003DEEC82A,treatment,Y
July,7/15/2024,Camp,LMB,380,580,N,3DD.003DEEC829,treatment,N
July,7/15/2024,Camp,LMB,288,240,N,3DD.003DEEC847,treatment,Y
July,7/15/2024,Camp,LMB,334,410,N,3DD.003DEEC81B,treatment,N
July,7/15/2024,Camp,LMB,296,290,N,3DD.003DEEC841,treatment,N
July,7/15/2024,Camp,LMB,286,250,N,3DD.003BD7CACD,treatment,N
July,7/15/2024,Camp,LMB,299,280,N,3DD.003DEEC851,treatment,N
July,7/16/2024,Camp,LMB,293,240,N,3DD.003DEEC84D,reference,Y
July,7/16/2024,Camp,LMB,289,185,N,3D9.2794E83E82,reference,Y
July,7/16/2024,Camp,LMB,340,410,N,384.3515E52927,reference,Y
July,7/16/2024,Camp,LMB,320,335,R,3D6.1533D2E69A,reference,N
July,7/16/2024,Camp,LMB,291,270,N,3D9.2794E892DB,reference,Y
July,7/16/2024,Camp,LMB,289,255,N,3DD.003DEEC833,reference,N
July,7/16/2024,Camp,LMB,290,255,N,3DD.003DEEC832,reference,Y
July,7/16/2024,Camp,LMB,344,470,N,3DD.003DEEC850,reference,N
July,7/16/2024,Camp,LMB,238,120,N,3DD.003DEEC843,reference,Y
July,7/16/2024,Camp,LMB,264,175,N,3DD.003DEEC83A,reference,Y
July,7/16/2024,Camp,LMB,262,165,N,3DD.003DEEC846,reference,Y
July,7/16/2024,Camp,LMB,206,75,N,3DD.003DEEC83E,reference,Y
July,7/16/2024,Camp,LMB,253,140,N,3DD.003DEEC828,treatment,N
July,7/16/2024,Camp,LMB,307,280,N,3DD.003DEEC857,treatment,Y
July,7/16/2024,Camp,LMB,304,320,N,3DD.003DEEC835,treatment,N
July,7/16/2024,Camp,LMB,363,515,N,3DD.003DEECC83C,treatment,N
July,7/16/2024,Camp,LMB,281,210,N,3DD.003DEEC839,treatment,Y
July,7/16/2024,Camp,LMB,238,110,N,3DD.003DEEC83F,treatment,Y
July,7/16/2024,Camp,LMB,280,210,N,3DD.003DEEC8013,treatment,Y
July,7/16/2024,Camp,LMB,288,275,N,3DD.003DEEC82F,treatment,Y
July,7/16/2024,Camp,LMB,298,285,N,3DD.003DEEC83D,treatment,Y
July,7/16/2024,Camp,LMB,309,275,N,3DD.003DEEC831,treatment,N
July,7/19/2024,Camp,LMB,265,170,N,3DD.003DEEC7FC,treatment,N
July,7/19/2024,Camp,LMB,296,260,N,3DD.003DEEC810,treatment,N
July,7/19/2024,Camp,LMB,378,520,N,3DD.003DEEC806,treatment,N
